state,weekid,dose1,dose2
Gujarat,10,303750,8267
Gujarat,11,83174,3923
Gujarat,12,85000,12390
Gujarat,13,45278,22711
Gujarat,14,54367,77270
Gujarat,15,86924,162825
Gujarat,16,45448,111604
Gujarat,17,32583,40986
Gujarat,18,59022,334
Gujarat,19,36084,578
Gujarat,20,46963,471
Gujarat,21,19783,4493
Gujarat,22,236415,24532
Gujarat,23,510210,36598
Gujarat,24,104894,40919
Gujarat,25,59108,32856
Gujarat,26,82326,44761
Gujarat,27,69473,49589
Gujarat,28,150211,43390
Gujarat,29,45271,14927
Gujarat,30,28407,26677
Gujarat,31,12033,19823
Gujarat,32,12105,31805
Haryana,1,3242,0
Haryana,2,17993,0
Haryana,3,10893,0
Haryana,4,29275,334
Haryana,5,19365,11080
Haryana,6,7214,9588
Haryana,7,18629,7932
Haryana,8,25927,18620
Haryana,9,116361,19131
Haryana,10,303750,8267
Haryana,11,83174,3923
Haryana,12,85000,12390
Haryana,13,45278,22711
Haryana,14,54367,77270
Haryana,15,86924,162825
Haryana,16,45448,111604
Haryana,17,32583,40986
Haryana,18,59022,334
Haryana,19,36084,578
Haryana,20,46963,471
Haryana,21,19783,4493
Haryana,22,236415,24532
Haryana,23,510210,36598
Haryana,24,104894,40919
Haryana,25,59108,32856
Haryana,26,82326,44761
Haryana,27,69473,49589
Haryana,28,150211,43390
Haryana,29,45271,14927
Haryana,30,28407,26677
Haryana,31,12033,19823
Haryana,32,12105,31805
Himachal Pradesh,1,3242,0
Himachal Pradesh,2,17993,0
Himachal Pradesh,3,10893,0
Himachal Pradesh,4,29275,334
Himachal Pradesh,5,19365,11080
Himachal Pradesh,6,7214,9588
Himachal Pradesh,7,18629,7932
Himachal Pradesh,8,25927,18620
Himachal Pradesh,9,116361,19131
Himachal Pradesh,10,303750,8267
Himachal Pradesh,11,83174,3923
Himachal Pradesh,12,85000,12390
Himachal Pradesh,13,45278,22711
Himachal Pradesh,14,54367,77270
Himachal Pradesh,15,86924,162825
Himachal Pradesh,16,45448,111604
Himachal Pradesh,17,32583,40986
Himachal Pradesh,18,59022,334
Himachal Pradesh,19,36084,578
Himachal Pradesh,20,46963,471
Himachal Pradesh,21,19783,4493
Himachal Pradesh,22,236415,24532
Himachal Pradesh,23,510210,36598
Himachal Pradesh,24,104894,40919
Himachal Pradesh,25,59108,32856
Himachal Pradesh,26,82326,44761
Himachal Pradesh,27,69473,49589
